inlet stagnation_NOUN,1147,247,4.643725,1950,2009,60
inlet stagnation,1153,249,4.6305223,1950,2009,60
intertrial _NOUN_,12574,3041,4.1348243,1950,2009,60
intertrial_ADJ _NOUN_,12573,3041,4.1344953,1950,2009,60
ICFTU_NOUN ._.,2626,815,3.222086,1950,2009,60
ICFTU_NOUN .,2626,815,3.222086,1950,2009,60
ICFTU_ADJ _CONJ_,2224,694,3.204611,1950,2009,60
ICFTU _CONJ_,2366,739,3.201624,1950,2009,60
ICFTU ._.,2780,893,3.113102,1950,2009,60
ICFTU .,2780,893,3.113102,1950,2009,60
Israel_NOUN Labor_NOUN,2968,962,3.0852392,1950,2009,60
Israel_NOUN Labor,2968,962,3.0852392,1950,2009,60
Israel Labor_NOUN,2968,962,3.0852392,1950,2009,60
Israel Labor,2968,962,3.0852392,1950,2009,60
ICFTU_ADJ and,2032,664,3.060241,1950,2009,60
ICFTU_ADJ and_CONJ,2032,664,3.060241,1950,2009,60
ICFTU and,2160,706,3.0594902,1950,2009,60
ICFTU and_CONJ,2160,706,3.0594902,1950,2009,60
injected carriers_NOUN,4436,1544,2.873057,1950,2009,60
injected carriers,4436,1544,2.873057,1950,2009,60
injected carrier_NOUN,2419,853,2.8358734,1950,2009,60
injected carrier,2430,862,2.8190255,1950,2009,60
injected_ADJ carriers_NOUN,4234,1505,2.813289,1950,2009,60
injected_ADJ carriers,4234,1505,2.813289,1950,2009,60
injected_ADJ carrier_NOUN,2338,833,2.8067226,1950,2009,60
injected_ADJ carrier,2345,838,2.7983294,1950,2009,60
indirect Coombs,4856,2038,2.382728,1950,2009,60
indirect_ADJ Coombs,4856,2038,2.382728,1950,2009,60
in_ADP permafrost_NOUN,4115,1890,2.1772487,1950,2009,60
in permafrost_NOUN,4115,1890,2.1772487,1950,2009,60
Israel Communist,775,363,2.1349862,1950,2009,60
Israel_NOUN Communist,775,363,2.1349862,1950,2009,60
indirect_ADJ Coombs_ADJ,1692,794,2.1309824,1950,2009,60
indirect Coombs_ADJ,1692,794,2.1309824,1950,2009,60
idiolect _._,7472,3841,1.9453267,1950,2009,60
ICFTU )_.,4442,2313,1.9204496,1950,2009,60
ICFTU ),4442,2313,1.9204496,1950,2009,60
idiolect_NOUN _._,7036,3694,1.9047103,1950,2009,60
inverting amplifiers_NOUN,1342,705,1.9035461,1950,2009,60
inverting amplifiers,1347,708,1.9025424,1950,2009,60
ICFTU_X )_.,4234,2253,1.8792721,1950,2009,60
ICFTU_X ),4234,2253,1.8792721,1950,2009,60
ICFTU_X _._,4242,2258,1.8786536,1950,2009,60
Indonesian_ADJ music_NOUN,1449,800,1.81125,1950,2009,60
Indonesian music_NOUN,1449,800,1.81125,1950,2009,60
Indonesian music,1464,813,1.800738,1950,2009,60
Indonesian_ADJ music,1464,813,1.800738,1950,2009,60
in triglyceride,5129,2850,1.7996491,1950,2009,60
in_ADP triglyceride,5127,2849,1.7995788,1950,2009,60
interpersonal_ADJ approach,4155,2466,1.6849148,1950,2009,60
